criterion,splitter,max_depth,r_squared,rmse
friedman_mse,best,18,0.6286177454036175,15.993811688250014
friedman_mse,best,18,0.6251490625562138,16.06832860736743
friedman_mse,best,16,0.6198178279219314,16.182189323593935
friedman_mse,best,19,0.6197806620449222,16.182980274096725
friedman_mse,best,14,0.6174570480133379,16.23235404453611
friedman_mse,best,18,0.616653960057612,16.249383731497385
friedman_mse,best,17,0.6151408994974625,16.28142017692636
friedman_mse,best,19,0.6126783335445422,16.333426402927426
friedman_mse,best,20,0.6111363072141153,16.365907873748338
friedman_mse,best,14,0.6111266998067378,16.366110043526337
friedman_mse,best,17,0.605772878973745,16.47838529804219
friedman_mse,best,13,0.5995434838359394,16.608066935696844
friedman_mse,best,20,0.5995412480670869,16.608113297468257
friedman_mse,best,12,0.588740761162661,16.83058601856934
friedman_mse,best,10,0.5131774104864166,18.311619908151588
squared_error,random,13,0.49114831247754454,18.721343580233032
friedman_mse,best,6,0.4106916480774703,20.14710742769943
squared_error,random,8,0.3651954250864633,20.910356063423674
friedman_mse,random,2,0.2577127228606235,22.611397900592053
squared_error,best,2,0.2553373001280642,22.647548813915197
squared_error,random,4,0.24806899012079975,22.757806575530324
poisson,random,3,0.10268410016309992,24.860741951466863
poisson,best,15,0.04108223049355475,25.699938695141988
poisson,best,16,0.03709949384676037,25.753254021270205
poisson,best,9,0.030071145977742963,25.847071469420147
