colsample_bynode,max_depth,subsample,n_estimators,gamma,learning_rate,r_squared,rmse
0.8786568554537927,8,0.1926102539047499,183,3.70464850240346,0.16570844350259917,0.7539766422125838,13.017559604254691
0.8587990643807711,9,0.13457476904633836,183,3.953420621934551,0.18456217001977288,0.7499389720497605,13.123945256901935
0.8588428477684987,8,0.19565875658043114,170,3.4553351174586964,0.20886971481575434,0.7477791080756031,13.180501432980941
0.8757469906100519,8,0.2054501518622221,179,2.840351149182071,0.18312125064070217,0.7449305177433085,13.254722945992022
0.7530926076804403,7,0.2832799489158483,134,7.7207281008158475,0.3466057047805823,0.7418550035760881,13.334393279966951
0.5504967544059435,6,0.4834992508725411,172,2.3259817588168494,0.4148706592047661,0.7348763607748932,13.51343105838454
0.534388154120931,6,0.44839196314266594,140,1.7178830158380016,0.4372898308332883,0.7255857658632942,13.748164551303473
0.41024222795738763,7,0.790024921260377,112,5.846488860755493,0.5334697573518877,0.7139034297741942,14.037757307597742
0.7717824458329902,8,0.26066215932837017,81,8.043004314477148,0.4384489057762931,0.709263666692403,14.151127976980266
0.9812717446384687,9,0.017904374485764207,189,3.583048306268162,0.10951587738009555,0.7084128953236004,14.171817822737145
0.6719746837190506,5,0.3709341306498366,139,4.4326446368119345,0.31294483120105515,0.704688081660844,14.262047925358157
0.4799445485811507,7,0.7909602967679888,83,13.982485772808188,0.1632187276095638,0.7017632319067362,14.33250151284606
0.7436289106974854,5,0.28803324898154464,150,2.3058646479048557,0.21562018020265233,0.698234801513806,14.417035918015257
0.6463661842431079,4,0.5938141749250565,198,4.394300177604286,0.3160199513042829,0.6805524781699959,14.833415630837873
0.5930525883251526,4,0.5777696542508658,198,4.392641292646064,0.31739588678551955,0.6763761332059156,14.930064208304946
0.19588041748299545,9,0.47047616981198626,109,11.896368317760215,0.8458469187708922,0.6569689468269975,15.371212355528433
0.9594035533757969,7,0.7260769186869277,169,9.05034382722608,0.9284560991419467,0.6388148822891524,15.772710340969889
0.23170432656015733,10,0.13305931457866274,45,18.864504993305783,0.04825421112796966,0.6003789113253957,16.590734117974197
0.32458641516592274,6,0.8559999507285015,17,1.0302062238019682,0.7896503793418985,0.5957400380046209,16.686750388088218
0.893023766705899,10,0.11518680335940164,112,6.497847206231175,0.49640745758605836,0.5923218955500728,16.75714769986068
0.39447584254129336,2,0.9795502383101943,163,14.310075762698983,0.8288543415135776,0.5315234672065582,17.963266973733308
0.05569711854041611,3,0.36469114564250166,44,0.06376955573158094,0.03951013873980263,0.17334580268690347,23.86180771410932
0.0644134636863985,2,0.6783159436473151,3,11.219211374080778,0.6514322418184041,0.1619234270513824,24.02609857178511
0.10291824698719411,2,0.9771666510374042,2,19.097429979965273,0.629146740705687,0.09958386009007958,24.903652040334485
0.7651895087562186,8,0.011237548059595648,132,6.681128302563181,0.6113086009106566,-5.909644704749103,68.98731815705065
