epsilon,loss,C,r_squared,rmse
1.0,squared_epsilon_insensitive,42,0.3360757990497064,21.384576498579595
0.9,squared_epsilon_insensitive,40,0.33604245521394926,21.385113483715116
0.9,squared_epsilon_insensitive,41,0.3360321275921756,21.385279801958312
0.9,squared_epsilon_insensitive,34,0.3360289638508511,21.38533075127052
0.9,squared_epsilon_insensitive,43,0.33600513789023423,21.385714443818564
0.7000000000000001,squared_epsilon_insensitive,34,0.3359508982946382,21.38658789095041
0.7000000000000001,squared_epsilon_insensitive,33,0.3359483248722439,21.38662933116225
0.6000000000000001,squared_epsilon_insensitive,41,0.33594357132438124,21.386705878054624
0.8,squared_epsilon_insensitive,30,0.33590782000025576,21.38728157669253
0.4,squared_epsilon_insensitive,49,0.3356511252075278,21.39141464252261
0.4,squared_epsilon_insensitive,51,0.33549776892440264,21.393883464756723
0.8,squared_epsilon_insensitive,9,0.33542690513850004,21.395024176623494
1.0,squared_epsilon_insensitive,56,0.33520954240506595,21.398522738915155
0.0,squared_epsilon_insensitive,1,0.3351430861349518,21.39959227176813
0.2,squared_epsilon_insensitive,59,0.33461559134071284,21.408079763720735
1.0,squared_epsilon_insensitive,62,0.33447398133888173,21.410357722816844
0.9,squared_epsilon_insensitive,71,0.3328137414558733,21.43704652813411
0.7000000000000001,squared_epsilon_insensitive,73,0.33227305173422395,21.44573109201724
1.0,squared_epsilon_insensitive,85,0.32931278670338626,21.49321670025248
0.8,squared_epsilon_insensitive,95,0.3261463407592843,21.543893803394543
0.2,epsilon_insensitive,27,0.24365159735441655,22.82455668557717
0.4,epsilon_insensitive,86,0.24178950716689074,22.85263584591959
0.9,epsilon_insensitive,21,0.24170952632760112,22.853841134433463
0.6000000000000001,epsilon_insensitive,20,0.23933862821499807,22.889541069527812
0.4,epsilon_insensitive,92,0.23572732365622573,22.94381175364825
