,Code,name,latitude,longitude,density
84,6092,Crescent / Ste-Catherine,45.49709201687824,-73.57554942369461,40
85,6093,Atwater / Sherbrooke,45.4912258547597,-73.58763009309769,14
86,6094,de Gaspé / Fairmount,45.52564776553033,-73.5929274559021,38
87,6095,Chomedey / de Maisonneuve,45.49180027678722,-73.58400642871855,18
88,6096,Lucien L'Allier / St-Jacques,45.49356916133978,-73.56857568025589,34
89,6097,Ste-Catherine / St-Marc,45.492897397177465,-73.58029425144196,25
90,6098,Bishop / Ste-Catherine,45.49658329569871,-73.5765016078949,36
91,6099,Ste-Catherine / Labelle,45.51506508398211,-73.55922952294348,32
92,6100,Mackay / de Maisonneuve,45.49659,-73.57851,34
93,6101,Métro Villa-Maria (Décarie / de Monkland),45.479483,-73.61979,5
94,6102,Lincoln / du Fort,45.493034,-73.583836,19
95,6103,du Havre / Hochelaga,45.535753085274585,-73.55794072151183,16
96,6104,Wolfe / René-Lévesque,45.51681750463149,-73.5541883111,25
97,6105,Plessis / René-Lévesque,45.51937252291976,-73.55195805430411,22
98,6106,Papineau / René-Lévesque,45.52114,-73.54926,16
99,6107,St-Mathieu / Ste-Catherine,45.49367956421703,-73.57914626598358,28
100,6108,Logan / Fullum,45.52836601591233,-73.55117082595825,19
101,6109,Quai de la navette fluviale,45.513741443172,-73.53838205337523,3
102,6110,Poupart / Ste-Catherine,45.52900206660643,-73.54619935154915,11
103,6111,Parthenais / Ste-Catherine,45.52600589494234,-73.54886412620544,17
104,6112,Montcalm / de Maisonneuve,45.519139183741046,-73.55786561965942,31
105,6113,Alexandre-DeSève / Ste-Catherine,45.52123044585842,-73.55386108160019,26
106,6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,20
107,6115,Benny / de Monkland,45.46685123845205,-73.63162770867348,4
108,6116,Plessis / Ontario,45.52349210923463,-73.56073021888733,37
109,6117,de Maisonneuve / Aylmer (est),45.50526304478131,-73.57048004865646,33
110,6118,de Champlain / Ontario,45.52510954917077,-73.56020584702492,34
111,6119,Ontario / de Lorimier,45.52773089755533,-73.55753839015959,32
112,6120,Métro Frontenac (Ontario / du Havre),45.53370598779895,-73.55217933654784,20
113,6121,du Havre / de Rouen,45.53456256501449,-73.55478646466509,22
114,6122,Logan / d'Iberville,45.53057,-73.54913,13
115,6123,Alexandre-DeSève / la Fontaine,45.52327641182773,-73.55821833014488,30
116,6124,Poupart / Ontario,45.53193889278052,-73.55343863368034,21
