,Code,name,latitude,longitude,density,elevation_meters
80,6087,Notre-Dame / de la Montagne,45.49302901258371,-73.56481790542603,30,19
81,6088,Richmond / Notre-Dame,45.4891601257399,-73.56777101755141,26,20
82,6089,Henri-Julien / du Carmel,45.527839413108,-73.59482109546661,39,68
83,6090,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),45.49487159597493,-73.57112377882004,46,37
84,6091,Joseph-Manseau / René-Lévesque,45.49168652100804,-73.57676714658737,32,51
85,6092,Crescent / Ste-Catherine,45.49709201687824,-73.57554942369461,44,45
86,6093,Atwater / Sherbrooke,45.4912258547597,-73.58763009309769,18,57
87,6094,de Gaspé / Fairmount,45.52564776553033,-73.5929274559021,46,66
88,6095,Chomedey / de Maisonneuve,45.49180027678722,-73.58400642871855,19,56
89,6096,Lucien L'Allier / St-Jacques,45.49356916133978,-73.56857568025589,40,15
90,6097,Ste-Catherine / St-Marc,45.492897397177465,-73.58029425144196,26,52
91,6098,Bishop / Ste-Catherine,45.49658329569871,-73.5765016078949,38,45
92,6099,Ste-Catherine / Labelle,45.51506508398211,-73.55922952294348,40,29
93,6100,Mackay / de Maisonneuve,45.49659,-73.57851,36,52
94,6101,Métro Villa-Maria (Décarie / de Monkland),45.479483,-73.61979,6,96
95,6102,Lincoln / du Fort,45.493034,-73.583836,21,56
96,6103,du Havre / Hochelaga,45.535753085274585,-73.55794072151183,19,26
97,6104,Wolfe / René-Lévesque,45.51681750463149,-73.5541883111,28,24
98,6105,Plessis / René-Lévesque,45.51937252291976,-73.55195805430411,25,21
99,6106,Papineau / René-Lévesque,45.52114,-73.54926,18,19
100,6107,St-Mathieu / Ste-Catherine,45.49367956421703,-73.57914626598358,30,51
101,6108,Logan / Fullum,45.52836601591233,-73.55117082595825,22,20
102,6109,Quai de la navette fluviale,45.513741443172,-73.53838205337523,3,2
103,6110,Poupart / Ste-Catherine,45.52900206660643,-73.54619935154915,13,23
104,6111,Parthenais / Ste-Catherine,45.52600589494234,-73.54886412620544,19,21
105,6112,Montcalm / de Maisonneuve,45.519139183741046,-73.55786561965942,35,27
106,6113,Alexandre-DeSève / Ste-Catherine,45.52123044585842,-73.55386108160019,30,20
107,6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,23,18
108,6115,Benny / de Monkland,45.46685123845205,-73.63162770867348,5,63
109,6116,Plessis / Ontario,45.52349210923463,-73.56073021888733,40,34
110,6117,de Maisonneuve / Aylmer (est),45.50526304478131,-73.57048004865646,37,45
111,6118,de Champlain / Ontario,45.52510954917077,-73.56020584702492,37,28
112,6119,Ontario / de Lorimier,45.52773089755533,-73.55753839015959,36,26
113,6120,Métro Frontenac (Ontario / du Havre),45.53370598779895,-73.55217933654784,22,21
114,6121,du Havre / de Rouen,45.53456256501449,-73.55478646466509,24,21
115,6122,Logan / d'Iberville,45.53057,-73.54913,17,23
116,6123,Alexandre-DeSève / la Fontaine,45.52327641182773,-73.55821833014488,32,28
117,6124,Poupart / Ontario,45.53193889278052,-73.55343863368034,24,22
118,6125,Ellendale / de la Côte-des-Neiges,45.499757,-73.629298,10,83
119,6126,Fullum / de Rouen,45.53213680524969,-73.55871319770813,31,29
120,6127,de Gaspé / Jean-Talon,45.536582447959766,-73.61622512340546,31,59
121,6128,Hogan / Ontario,45.53529548038031,-73.55116009712219,19,27
122,6129,de Bordeaux / Sherbrooke,45.52997069129102,-73.56305301189423,39,46
123,6130,Sherbrooke / Frontenac,45.5367,-73.56081,29,44
124,6131,Fullum / Sherbrooke,45.533924,-73.562425,30,42
125,6132,Larivière / de Lorimier,45.5291345371163,-73.55923354625702,35,27
126,6133,Chapleau / Terrasse Mercure,45.53673838509649,-73.56516659259796,34,50
127,6134,Bercy / Rachel,45.53840340979245,-73.56196403503418,31,45
128,6136,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,46,61
129,6137,Cartier / Gauthier,45.53034708827074,-73.56698781251907,42,47
130,6138,Gauthier / de Lorimier,45.53167355364312,-73.56541335582732,37,47
131,6139,Gauthier / Parthenais,45.53292625574653,-73.56377989053726,34,48
132,6140,Marquette / Rachel,45.5298015824607,-73.5702896118164,44,48
133,6141,des Érables / Rachel,45.53354753725336,-73.5668671131134,37,48
134,6142,Calixa-Lavallée / Rachel,45.527794785525096,-73.57193917036057,45,49
135,6143,Rachel / de Brébeuf,45.52689,-73.57264,46,43
136,6145,du Parc-La Fontaine / Duluth,45.52451761488783,-73.57197672128677,45,49
137,6146,du Parc-La Fontaine / Roy,45.52317047138824,-73.56901288032532,44,43
138,6147,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,43,40
139,6148,Émile-Duployé / Sherbrooke,45.52720058937288,-73.56472939252852,38,51
140,6149,Chapleau / du Mont-Royal,45.53867,-73.56936,30,47
141,6150,Messier / du Mont-Royal,45.53711414,-73.5710031,36,47
142,6151,Parthenais / du Mont-Royal,45.53646917409483,-73.57146307826042,37,47
143,6152,Chabot / du Mont-Royal,45.53418509490266,-73.57358872890472,40,48
144,6153,Cartier / Marie-Anne,45.532674,-73.571776,42,47
145,6154,Marquette / du Mont-Royal,45.53229,-73.57544,47,50
146,6155,Garnier / du Mont-Royal,45.53092,-73.57674,50,50
147,6156,Marie-Anne / de la Roche,45.52775814390426,-73.57618510723114,49,48
148,6157,de Brébeuf / du Mont-Royal,45.52940777616881,-73.57815384864807,45,49
149,6158,Gilford / de Brébeuf,45.53081622781595,-73.58162596821785,45,51
150,6159,Ann / Wellington,45.49452705626516,-73.55675250291823,33,16
151,6160,Garnier / St-Joseph,45.5329774553515,-73.58122229576111,44,54
152,6161,Cartier / St-Joseph,45.53582823686429,-73.57869029045105,38,56
153,6162,Legendre / Henri-Julien,45.54612387708119,-73.64664673805237,32,32
154,6163,Marquette / Laurier,45.53543,-73.5822,38,52
155,6164,de Lanaudière / Laurier,45.5333136054992,-73.58373686671257,40,54
156,6165,Laurier / de Brébeuf,45.53251395631143,-73.58481109142303,41,54
157,6166,Gerry-Boulet / St-Grégoire,45.5337352275406,-73.589306473732,39,61
158,6167,Marquette / St-Grégoire,45.53703,-73.58584,31,59
159,6168,Marmier / St-Denis,45.530871318676006,-73.59834551811218,39,67
160,6169,Boyer / du Mont-Royal,45.527432126380575,-73.57991673052311,48,50
161,6170,de Mentana / Laurier,45.53045006508681,-73.58763813972473,50,59
162,6171,Wolfe / Robin,45.51958082831579,-73.5601159930229,38,27
163,6173,Berri / Cherrier,45.51908844137639,-73.56950908899307,53,48
164,6174,Roy / St-Denis,45.51908,-73.5727,50,47
165,6175,St-Christophe / Cherrier,45.52027785033668,-73.5682162642479,49,47
166,6176,de Mentana / Rachel,45.52496323980324,-73.57555881142616,46,48
167,6177,St-Hubert / Duluth,45.52242565278864,-73.57418417930603,48,49
168,6178,Rivard / Rachel,45.5222776,-73.5775906,49,48
169,6179,Duluth / St-Denis,45.52060423232697,-73.57598394155502,50,49
