,Code,name,latitude,longitude,density,elevation_meters
0,10002,Métro Charlevoix (Centre / Charlevoix),45.47822787309145,-73.56965124607086,17,16
1,4000,Jeanne-d'Arc / Ontario,45.54959767887176,-73.54187428951263,12,21
2,4001,Graham / Brookfield,45.52007477080967,-73.6297756433487,1,56
3,4002,Graham / Wicksteed,45.51693654712809,-73.64048302173615,63,53
4,5002,St-Charles / Montarville,45.53368199320325,-73.51526074111462,3,16
5,5003,Place Longueuil,45.52841043752244,-73.51716578006744,3,15
6,5004,St-Charles / Grant,45.539824,-73.508752,2,13
7,5005,St-Charles / St-Jean,45.53690747306937,-73.51191401481627,3,16
8,5007,Métro Longueuil - Université de Sherbrooke,45.52331869398737,-73.52012693881989,1,11
9,6001,Métro Champ-de-Mars (Viger / Sanguinet),45.51035067563653,-73.55650842189789,33,13
10,6002,Ste-Catherine / Dezery,45.53938508196168,-73.54099988937377,5,16
11,6003,Clark / Evans,45.51100666600306,-73.56760203838348,60,34
12,6004,du Champ-de-Mars / Gosford,45.50965520472071,-73.55400860309601,28,32
13,6005,Metcalfe / du Square-Dorchester,45.500208064155046,-73.57113786041737,51,54
14,6006,18e avenue / Rosemont,45.55789545752947,-73.5765291005373,11,61
15,6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51166045593874,-73.56213569641113,46,26
16,6008,Sanguinet / Ste-Catherine,45.51279685582333,-73.56146247242577,47,34
17,6009,Crescent / de Maisonneuve,45.49811161443597,-73.57761539518833,41,54
18,6011,St-André / St-Antoine,45.51411452790017,-73.55264469981194,24,17
19,6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.51066,-73.56497,55,28
20,6013,Sanguinet / de Maisonneuve,45.51340553558378,-73.56259435415267,47,29
21,6014,St-Denis / René-Lévesque,45.51287121578035,-73.55846643447876,43,33
22,6015,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273,44,31
23,6016,Jacques-Le Ber / de la Pointe Nord,45.472503,-73.539285,1,12
24,6017,Atateken / du Square Amherst,45.52063377251984,-73.56390595436096,43,29
25,6018,St-André / Ontario,45.51889,-73.56353,43,29
26,6019,Métro Sherbrooke (de Rigaud / Berri),45.51799893773692,-73.56818407773972,52,52
27,6020,Sanguinet / Ontario,45.51476724402057,-73.56549113988876,50,30
28,6021,de l'Hôtel-de-Ville / Sherbrooke,45.5145646696576,-73.56840670108795,55,42
29,6022,William-Tremblay / Molson,45.541719808901306,-73.56517732143402,24,46
30,6023,de la Commune / Berri,45.51086,-73.54983,19,14
31,6024,Bellerive / Duchesneau,45.60761595633475,-73.50982189178467,33,10
32,6025,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,32,40
33,6026,de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,22,13
34,6027,de Maisonneuve / Mansfield (sud),45.502053864057466,-73.57346534729004,48,64
35,6029,Bourget / St-Jacques,45.48084576334506,-73.58386158943176,18,18
36,6031,de Maisonneuve / Robert-Bourassa,45.50426292830073,-73.57152342796326,44,63
37,6032,Métro Place-d'Armes (Viger / St-Urbain),45.50623,-73.55976,43,24
38,6033,16e avenue / Beaubien,45.55828063767652,-73.58315885066986,8,64
39,6035,Viger / Chenneville,45.50531166520915,-73.56089115142822,48,22
40,6036,de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,27,15
41,6037,St-Nicolas / Place d'Youville,45.501966859101564,-73.55515256524086,32,19
42,6038,McGill / Place d'Youville,45.49975,-73.55566,30,21
43,6039,McGill / des Récollets,45.500779,-73.558826,42,31
44,6040,St-Jacques / St-Pierre,45.50278649802565,-73.55913430452347,44,40
45,6041,St-Jacques / McGill,45.50144108135568,-73.56014415621758,49,31
